problem,skill
121,39
132,39
322,29
153,71
333,38
435,58
513,5
311,10
573,19
508,48
355,53
597,4
326,26
572,69
583,78
268,75
454,81
238,80
249,80
441,3
207,74
452,3
34,12
129,2
356,53
86,40
222,62
537,74
581,19
530,44
142,66
417,5
428,5
77,76
573,23
591,68
6,52
610,27
84,8
375,53
386,53
210,74
98,0
546,47
348,53
89,40
203,62
581,23
412,65
584,19
506,81
385,29
155,0
382,51
187,59
409,32
457,81
367,26
10,8
594,68
470,20
607,7
564,73
524,0
336,38
599,12
516,5
461,69
371,14
240,70
580,17
67,8
347,53
482,21
329,26
423,42
586,78
184,44
107,71
101,0
113,2
598,52
487,63
48,12
519,15
477,18
501,3
21,40
429,5
498,77
259,79
270,79
281,79
378,30
116,39
525,58
317,29
290,75
95,74
180,60
306,10
263,76
588,25
350,53
366,79
592,4
78,39
496,45
196,31
300,79
230,2
606,33
9,52
241,11
124,2
33,0
587,19
164,74
262,79
2,12
293,57
192,2
462,24
484,21
271,75
231,2
282,75
455,3
503,52
370,26
362,22
226,9
527,0
550,2
339,38
90,8
578,82
445,56
551,74
509,77
520,77
58,52
176,44
227,80
110,71
301,75
568,1
552,47
62,40
587,23
51,12
608,55
20,52
156,74
160,35
495,25
72,71
24,31
432,5
273,79
213,74
5,8
196,12
96,74
528,58
246,80
320,29
151,71
572,3
572,12
511,5
195,25
403,63
575,17
394,5
342,53
456,56
179,44
479,67
491,32
554,70
400,21
473,5
555,44
292,79
43,12
597,68
13,8
494,64
161,13
602,12
36,0
579,19
254,70
16,40
580,82
92,8
265,79
205,74
140,66
202,50
121,71
285,75
467,52
486,65
510,32
309,51
458,3
54,8
345,53
199,8
553,2
42,61
373,53
73,39
573,78
200,0
211,0
75,76
228,80
239,80
284,79
295,79
24,12
35,12
221,50
119,2
65,31
304,75
55,8
120,74
579,23
190,71
309,10
591,6
258,44
581,78
81,2
266,75
604,52
450,3
152,71
216,74
323,29
483,18
126,0
562,73
589,36
354,53
75,71
578,17
406,72
167,74
190,39
327,26
434,0
171,35
182,44
468,20
111,2
331,14
402,65
392,30
594,6
384,53
584,78
154,76
257,70
427,5
531,81
442,3
268,79
208,74
143,66
114,39
224,9
565,73
377,22
398,54
243,40
598,8
56,52
159,74
288,57
45,61
372,38
383,38
69,0
593,6
231,71
38,40
276,79
287,79
298,79
279,75
466,81
592,68
7,52
397,67
154,71
522,0
533,0
550,71
220,16
334,38
436,58
554,32
146,76
502,3
514,5
419,5
575,82
260,79
186,59
116,71
99,0
127,71
233,0
315,51
414,21
296,47
410,32
453,3
476,5
485,72
46,12
147,76
340,53
37,52
163,39
548,2
584,23
538,74
549,74
550,39
596,6
30,12
11,8
174,44
185,44
418,5
201,16
60,40
577,19
359,53
588,34
587,78
22,40
49,12
478,18
133,2
540,2
349,53
360,53
181,60
70,71
585,19
507,81
499,77
193,43
173,74
0,12
291,57
177,44
421,5
500,69
41,40
464,3
188,59
577,23
368,26
595,68
534,58
553,71
337,38
88,8
576,82
568,78
68,2
138,76
600,12
411,5
330,26
424,42
97,74
236,80
125,2
585,23
405,65
29,52
40,52
165,74
166,39
541,74
553,39
232,2
271,79
282,79
504,52
274,75
439,81
128,39
526,58
318,29
138,71
149,71
302,75
545,80
603,12
244,70
518,81
351,53
59,52
593,4
488,49
444,24
579,78
489,32
63,40
245,80
448,3
214,74
471,5
52,12
242,11
566,4
558,0
170,13
544,74
